PLANO,MES,ANO,1,2.01,2.02,2.03,2.03.01,2.03.01.01,2.03.01.01.01,2.03.01.01.01.01,2.03.01.01.01.02,2.03.01.01.02,2.03.01.01.02.01,2.03.01.01.02.02,2.03.01.01.02.03,2.03.01.01.03,2.03.02.01,3.01,3.02,3.05,solvencia_seca,solvencia_gerencial,solvencia_liquida,resultado_operacional,maturiade_atuarial,solvencia_financeira,risco_legal,provisoes_cd,passivo_integralizar,provisoes_bd,resultado,prov_concedidos_cd,prov_conceder_cd,prov_concedidos_bd,prov_conceder_bd,competencia
BD-01,5,2023,2802828614.69,-11139555.03,-1642082.43,-2790046977.23,-2708892995.1,-2765078136.06,-2298923207.66,0.0,-2298923207.66,-643707935.45,0.0,-628156876.74,-15551058.71,177553007.05,0.0,-37190242.53,93782244.41,-163942504.75,0.9796804508967478,0.9796804508967478,0.915467796384569,0.3965595274880669,0.2800041050980601,2.1446783295213314,0.0005885501009127394,-0.0,0.06421265451217877,0.9357873454878213,-56185140.96000004,0.0,0.0,-2298923207.66,-643707935.45,2023-05-01
BD-01,6,2021,2486906187.22,-10679585.65,-2245515.09,-2473981086.48,-2402105018.03,-2441035360.09,-1851747134.63,0.0,-1851747134.63,-750614793.88,0.0,-732347864.2,-18266929.68,161326568.42,0.0,-37839698.51,88798067.55,-128684438.09,0.9840517090835732,0.9840517090835732,0.9179623065875553,0.4261320043782867,0.4053549104208449,1.8753126187823217,0.0009076524886432889,-0.0,0.06608940249601788,0.9339105975039821,-38930342.05999994,0.0,0.0,-1851747134.63,-750614793.88,2021-06-01
BD-01,6,2022,2649155984.63,-12784990.46,-2833392.58,-2633537601.59,-2555920799.17,-2710377256.69,-2262471540.03,0.0,-2262471540.03,-622766169.97,0.0,-607563397.92,-15202772.05,174860453.31,0.0,-42202579.29,106309911.24,-165029698.36,0.9430129303443805,0.9430129303443805,0.8784977589311046,0.39697690269654673,0.27525922821629933,1.9493222713935172,0.0010758884089178515,-0.0,0.06451517141327595,0.9354848285867241,-154456457.51999998,0.0,0.0,-2262471540.03,-622766169.9699999,2022-06-01
BD-01,6,2023,2821572842.35,-13449992.71,-1658179.07,-2806464670.57,-2724373748.12,-2762808288.55,-2498909232.06,0.0,-2498909232.06,-440478906.6,0.0,-429383990.8,-11094915.8,176579850.11,0.0,-45137882.18,114832278.99,-192688350.26,0.9860885966683661,0.9860885966683661,0.9221754214973613,0.393076603347137,0.176268469838293,2.071074740759179,0.0005908426667146391,-0.0,0.06391317517100475,0.9360868248289953,-38434540.430000305,0.0,0.0,-2498909232.06,-440478906.6,2023-06-01
BD-01,7,2021,2496713700.45,-11631775.03,-2274671.75,-2482807253.67,-2410232326.64,-2455426354.59,-1858658626.75,0.0,-1858658626.75,-758688610.24,0.0,-740255448.78,-18433161.46,161920882.4,0.0,-44111407.96,103573779.45,-145491794.89,0.9815942238033253,0.9815942238033253,0.9156501232615532,0.42589358227769103,0.408191477079695,1.8306100622844461,0.0009161692864549428,-0.0,0.06594410054177213,0.9340558994582279,-45194027.950000286,0.0,0.0,-1858658626.75,-758688610.24,2021-07-01
BD-01,7,2022,2646294786.77,-14123639.5,-2868147.4,-2629302999.87,-2552027762.44,-2718745227.39,-2274635672.63,0.0,-2274635672.63,-620004239.52,0.0,-604781572.92,-15222666.6,175894684.76,0.0,-49191344.24,123952335.44,-171570611.06,0.9386785259352717,0.9386785259352717,0.8739815168194676,0.3968569375105596,0.2725729869536131,1.7810229594815614,0.0010908394354480291,-0.0,0.0646970091158042,0.9353029908841958,-166717464.9499998,0.0,0.0,-2274635672.63,-620004239.52,2022-07-01
BD-01,7,2023,2825916547.42,-14889358.91,-1666695.83,-2809360492.68,-2727027185.57,-2759373731.33,-2492926968.75,0.0,-2492926968.75,-442522044.45,0.0,-431391704.92,-11130339.53,176075281.87,0.0,-52557745.55,134828105.96,-208067236.89,0.9882775771209473,0.9882775771209473,0.9244677061089721,0.3898129783532857,0.17751103421689435,1.9330167147591664,0.0005932652054952369,-0.0,0.0638098710119752,0.9361901289880248,-32346545.759999752,0.0,0.0,-2492926968.75,-442522044.45,2023-07-01
BD-01,8,2021,2504160518.93,-12909154.19,-2343739.94,-2488907624.8,-2416105942.71,-2480674196.24,-1873953153.2,0.0,-1873953153.2,-769935448.8,0.0,-751251515.6,-18683933.2,163214405.76,0.0,-50898027.22,118391536.74,-159587170.98,0.9739714898361636,0.9739714898361636,0.9081771158682369,0.42991271691807925,0.4108616309245739,1.7778736892506697,0.0009416741371381088,-0.0,0.06579437396792648,0.9342056260320735,-64568253.52999973,0.0,0.0,-1873953153.2,-769935448.8000001,2021-08-01
BD-01,8,2022,2651229485.48,-15468085.75,-1732289.81,-2634029109.92,-2556539304.89,-2700569387.8,-2255822235.62,0.0,-2255822235.62,-619139389.45,0.0,-603941153.23,-15198236.22,174392237.27,0.0,-56177260.63,141796637.09,-187125037.17,0.9466667719923563,0.9466667719923563,0.8820906725750155,0.39618189671412046,0.2744628453756832,1.7158537945125816,0.0006576578077577179,-0.0,0.06457609941734081,0.9354239005826592,-144030082.91000032,0.0,0.0,-2255822235.62,-619139389.45,2022-08-01
BD-01,8,2023,2835414377.07,-16521741.53,-1677900.14,-2817214735.4,-2735353374.92,-2761581448.37,-2492014173.14,0.0,-2492014173.14,-445488827.12,0.0,-434288708.79,-11200118.33,175921551.89,0.0,-59972008.32,154806971.43,-229110127.71,0.9905025167859957,0.9905025167859957,0.9267993252709179,0.38739862789136664,0.17876657039982763,1.8673715618854803,0.0005955883017777005,-0.0,0.06370319151507778,0.9362968084849222,-26228073.44999981,0.0,0.0,-2492014173.14,-445488827.12,2023-08-01
BD-01,9,2021,2518587908.39,-14929413.04,-2580982.89,-2501077512.46,-2427694100.1,-2520927259.07,-2089119670.52,0.0,-2089119670.52,-597172732.38,0.0,-582268890.41,-14903841.97,165365143.83,0.0,-57628785.28,135039923.61,-181503975.38,0.9630163232062495,0.9630163232062495,0.8974193714358104,0.42675368690546606,0.28584898261541836,1.7708300942958448,0.0010319483811045132,-0.0,0.06559695177043909,0.9344030482295609,-93233158.97000027,0.0,0.0,-2089119670.52,-597172732.38,2021-09-01
BD-01,9,2022,2654698971.3,-16773752.33,-1735978.1,-2636189240.87,-2558331654.37,-2691183215.98,-2244260704.27,0.0,-2244260704.27,-620362184.99,0.0,-605138766.12,-15223418.87,173439673.28,0.0,-63253891.15,159576650.63,-199811213.38,0.9506345161410269,0.9506345161410269,0.8861871488082748,0.39638562972889235,0.2764216224120842,1.6485187744662717,0.0006585180127004423,-0.0,0.06444736733275203,0.935552632667248,-132851561.61000013,0.0,0.0,-2244260704.27,-620362184.99,2022-09-01
BD-01,9,2023,2829519111.12,-17999324.05,-1688898.44,-2809830888.63,-2728853521.86,-2753136901.44,-2500594353.28,0.0,-2500594353.28,-428043410.36,0.0,-417197672.55,-10845737.81,175500862.2,0.0,-67431486.95,175020718.55,-235514640.92,0.9911797413462081,0.9911797413462081,0.9274339602671031,0.38527716894692177,0.17117666837827594,1.7309158045963238,0.0006010676467520301,-0.0,0.0637457810791051,0.9362542189208949,-24283379.579999924,0.0,0.0,-2500594353.28,-428043410.36,2023-09-01
BD-01,10,2021,2518936790.26,-16176526.79,-2558370.63,-2500201892.84,-2426671236.2,-2551008703.65,-2110612957.41,0.0,-2110612957.41,-607398718.43,0.0,-592244049.55,-15154668.88,167002972.19,0.0,-64145848.09,151168341.62,-190213713.54,0.9512594891298891,0.9512594891298891,0.8857940236647768,0.42433387442489034,0.28778308988274104,1.6826245423092443,0.0010232656159994845,-0.0,0.06546546546511231,0.9345345345348877,-124337467.45000029,0.0,0.0,-2110612957.41,-607398718.43,2021-10-01
BD-01,10,2022,2664961098.14,-18216853.65,-1734482.14,-2645009762.35,-2566904800.46,-2685105683.18,-2232938653.19,0.0,-2232938653.19,-625674491.53,0.0,-610482819.26,-15191672.27,173507461.54,0.0,-70329951.6,177212334.47,-219127778.39,0.9559790575617071,0.9559790575617071,0.8913605724767875,0.3968682643357765,0.28020227543473025,1.6333949375233916,0.000655756422788766,-0.0,0.06461848508491971,0.9353815149150803,-118200882.71999979,0.0,0.0,-2232938653.19,-625674491.53,2022-10-01
BD-01,11,2021,2550710315.93,-17512165.54,-2618411.42,-2530579738.97,-2455966162.63,-2583451710.09,-2134020632.66,0.0,-2134020632.66,-618248387.94,0.0,-602856033.02,-15392354.92,168817310.51,0.0,-70654068.59,167584869.29,-229613345.28,0.9506530170615967,0.9506530170615967,0.8853073750855293,0.42160171672620106,0.28971059533260923,1.7917334371660805,0.0010347081262358283,-0.0,0.0653456419760673,0.9346543580239327,-127485547.46000004,0.0,0.0,-2134020632.66,-618248387.9399999,2021-11-01
BD-01,11,2022,2670250731.49,-19534339.4,-1754154.12,-2648962237.97,-2570816422.92,-2701429963.0,-2242798317.25,0.0,-2242798317.25,-632836100.28,0.0,-617475425.88,-15360674.4,174204454.53,0.0,-77396861.46,194752937.94,-233709583.52,0.951650221597842,0.951650221597842,0.8871642060742183,0.39741049495152997,0.2821636236360075,1.5974416009880503,0.0006622042756427797,-0.0,0.06448601552362362,0.9355139844763763,-130613540.07999992,0.0,0.0,-2242798317.25,-632836100.28,2022-11-01
